trip_class,total_orders,avg_human_delay_min,avg_uav_delay_min,avg_human_early_min,avg_uav_early_min,human_on_time_ratio,uav_on_time_ratio,delay_gap_%,early_gap_%,on_time_gap_%
short (<1 km),4501,0.18498111530770942,0.07079887064635237,14.072583870251055,19.273388275536558,96.35636525216619,98.97800488780271,61.72643324775018,36.9569970464331,2.6216396356365266
medium (1-3 km),36004,0.44287162537495833,0.04721873552252777,9.305499388956783,17.727104925062818,89.09287856904788,98.99177869125653,89.33805355388259,90.50138186135716,9.898900122208644
long (>3 km),38459,1.0275111157336385,0.1128929736918468,7.733992476836804,20.838388265970206,80.09828648690814,98.44249720481551,89.01296813599512,169.43895185288685,18.344210717907373
overall,78964,0.713,0.081,8.812,19.331,85.13,98.72,88.7,119.37,13.6
